Date,Open,High,Low,Close,Volume,Adj Close
2011-05-13,135.149994,135.339996,133.559998,134.039993,157444900,118.957009
2011-05-12,134.080002,135.360001,133.389999,135.080002,171550700,119.87999
2011-05-11,135.669998,135.690002,133.820007,134.440002,193564200,119.312007
2011-05-10,135.169998,136.110001,135.00,135.869995,114806900,120.581088
2011-05-09,134.190002,135.110001,133.979996,134.720001,114104500,119.560498
2011-05-06,134.940002,135.630005,133.679993,134.199997,222787200,119.099008
2011-05-05,134.080002,134.949997,133.020004,133.610001,226900000,118.575402
2011-05-04,135.669998,135.729996,134.229996,134.830002,182678500,119.658121
2011-05-03,135.960007,136.190002,135.039993,135.729996,138375000,120.456842
2011-05-02,137.070007,137.179993,135.949997,136.220001,126278700,120.891709
2011-04-29,136.160004,136.570007,135.979996,136.429993,115094100,121.078071
2011-04-28,135.429993,136.289993,135.410004,136.110001,124791100,120.794087
2011-04-27,135.050003,135.869995,134.50,135.669998,143031000,120.403596
2011-04-26,134.050003,135.059998,133.910004,134.789993,146600000,119.622615
2011-04-25,133.679993,133.860001,133.199997,133.639999,65757100,118.602025
2011-04-21,133.789993,133.839996,133.100006,133.779999,135935400,118.726271
2011-04-20,132.880005,133.389999,132.789993,133.100006,156133800,118.122795
2011-04-19,130.759995,131.350006,130.440002,131.309998,124258800,116.534209
2011-04-18,130.589996,132.029999,129.509995,130.559998,210759300,115.868603
2011-04-15,131.800003,132.369995,131.410004,132.039993,170006700,117.182061
2011-04-14,130.699997,131.759995,130.270004,131.559998,161220400,116.756077
2011-04-13,132.080002,132.179993,130.960007,131.460007,162059000,116.667338
2011-04-12,131.720001,131.979996,130.990005,131.470001,161187400,116.676208
2011-04-11,133.00,133.449997,132.139999,132.460007,121385400,117.554812
2011-04-08,133.910004,133.990005,132.309998,132.860001,147945400,117.909796
2011-04-07,133.419998,133.979996,132.660004,133.320007,170731500,118.31804
2011-04-06,133.880005,134.00,133.119995,133.660004,120411600,118.619778
2011-04-05,133.00,133.830002,132.940002,133.240005,120791500,118.247041
2011-04-04,133.429993,133.669998,132.880005,133.259995,100768900,118.26478
2011-04-01,133.410004,133.770004,132.830002,133.149994,153850100,118.167158
2011-03-31,132.600006,132.960007,132.449997,132.589996,132537100,117.670174
2011-03-30,132.550003,133.160004,132.360001,132.770004,135835000,117.829927
2011-03-29,130.869995,131.899994,130.440002,131.860001,129798800,117.022322
2011-03-28,131.580002,131.919998,130.940002,130.979996,109762400,116.241341
2011-03-25,131.240005,131.869995,130.889999,131.300003,155642800,116.525339
2011-03-24,130.399994,131.089996,129.669998,130.899994,159129800,116.170341
2011-03-23,128.929993,130.00,128.320007,129.660004,148603100,115.069882
2011-03-22,129.720001,129.889999,129.169998,129.289993,129538600,114.741508
2011-03-21,129.350006,130.009995,129.199997,129.740005,153992600,115.140882
2011-03-18,128.839996,128.880005,127.510002,127.760002,230435400,113.38368
2011-03-17,128.00,128.389999,127.099998,127.849998,254303700,112.972777
2011-03-16,128.149994,128.570007,125.279999,126.18,468670300,111.497108
2011-03-15,126.589996,129.330002,126.50,128.559998,359585400,113.600157
2011-03-14,129.990005,130.479996,129.059998,130.050003,234974100,114.916779
2011-03-11,129.520004,131.309998,129.490005,130.839996,225621800,115.614845
2011-03-10,131.00,131.179993,129.809998,129.940002,301291800,114.819579
2011-03-09,132.320007,132.800003,131.600006,132.389999,153806000,116.984482
2011-03-08,131.639999,133.00,131.070007,132.580002,174615000,117.152375
2011-03-07,132.860001,133.160004,130.740005,131.429993,216790400,116.136187
2011-03-04,133.369995,133.630005,131.600006,132.470001,277202300,117.055175
2011-03-03,132.399994,133.619995,132.389999,133.470001,176480100,117.93881
2011-03-02,130.75,131.820007,130.350006,131.210007,200277400,115.941799
2011-03-01,133.570007,133.690002,130.889999,130.929993,258565500,115.694369
2011-02-28,132.820007,133.320007,132.380005,133.149994,141585500,117.65604
2011-02-25,131.479996,132.410004,131.399994,132.330002,141686900,116.931466
2011-02-24,130.880005,131.440002,129.699997,130.929993,260431400,115.694369
2011-02-23,131.75,132.070007,130.210007,131.020004,227584000,115.773906
2011-02-22,133.119995,134.559998,131.470001,131.830002,233116400,116.489649
2011-02-18,134.369995,134.690002,134.059998,134.529999,130002400,118.875461
2011-02-17,133.460007,134.429993,133.339996,134.25,109810500,118.628045
2011-02-16,133.460007,134.009995,133.190002,133.850006,130183500,118.274596
2011-02-15,133.020004,133.220001,132.320007,133.009995,119575400,117.532332
2011-02-14,133.029999,133.539993,132.880005,133.429993,101690700,117.903457
2011-02-11,131.800003,133.279999,131.770004,133.110001,137710300,117.620701
2011-02-10,131.600006,132.470001,131.300003,132.320007,162708500,116.922635
2011-02-09,132.210007,132.630005,131.610001,132.270004,146436700,116.87845
2011-02-08,132.089996,132.639999,131.729996,132.570007,99072800,117.143544
2011-02-07,131.440002,132.399994,131.429993,131.970001,112439100,116.613357
2011-02-04,130.830002,131.199997,130.229996,131.149994,134634800,115.88877
2011-02-03,130.259995,130.979996,129.570007,130.779999,145886700,115.561829
2011-02-02,130.399994,130.839996,130.330002,130.490005,118323600,115.305581
2011-02-01,129.460007,130.970001,129.380005,130.740005,167194300,115.526489
2011-01-31,128.070007,128.779999,127.75,128.679993,149249200,113.706189
2011-01-28,130.139999,130.350006,127.510002,127.720001,295637300,112.857907
2011-01-27,129.699997,130.210007,129.470001,129.990005,123302700,114.863763
2011-01-26,129.490005,130.050003,129.229996,129.669998,141281500,114.580993
2011-01-25,128.759995,129.279999,128.110001,129.169998,167552200,114.139176
2011-01-24,128.289993,129.25,128.259995,129.100006,113715500,114.077328
2011-01-21,128.880005,129.169998,128.229996,128.369995,151462900,113.432265
2011-01-20,127.959999,128.399994,127.129997,128.080002,175745700,113.176016
2011-01-19,129.410004,129.539993,127.910004,128.25,151958400,113.326233
2011-01-18,129.179993,129.639999,129.029999,129.520004,114401300,114.448453
2011-01-14,128.190002,129.330002,128.100006,129.300003,117677900,114.254052
2011-01-13,128.630005,128.690002,128.050003,128.369995,129048400,113.432265
2011-01-12,128.210007,128.720001,127.459999,128.580002,107929200,113.617834
2011-01-11,127.440002,127.739998,126.949997,127.43,110287000,112.601652
2011-01-10,126.580002,127.160004,126.199997,126.980003,122401700,112.204019
2011-01-07,127.559998,127.769997,126.150002,127.139999,156034600,112.345397
2011-01-06,127.690002,127.830002,127.010002,127.389999,122519000,112.566306
2011-01-05,126.580002,127.720001,126.459999,127.639999,133975300,112.787215
2011-01-04,127.330002,127.370003,126.190002,126.980003,137409700,112.204019
2011-01-03,126.709999,127.599998,125.699997,127.050003,138725200,112.265873
